Term,Category,Reasoning,NLD
Travertine,Sedimentary Rock,"The definition explicitly identifies the term as a 'rocha carbonática' (carbonate rock) formed by chemical precipitation, which is a type of sedimentary rock.","Travertino é uma rocha carbonática de origem química que se forma pela precipitação de fluidos hidrotermais que ascendem através de falhas em sistemas lacustres alcalinos da fase rifte. Sua deposição resulta em fácies com texturas arbustivas e cristalinas, frequentemente com alta porosidade primária. No Pré-Sal brasileiro, constitui um importante tipo de reservatório de hidrocarbonetos devido à sua excelente qualidade petrofísica original."
Calcite,Earth Material,"The NLD describes calcite as a mineral, a natural solid matter that is the main constituent of reservoir rocks, which aligns with the definition of Earth Material.","Calcita é um mineral do grupo dos carbonatos que possui a fórmula química CaCO₃. No contexto do Pré-Sal brasileiro, este mineral é o principal constituinte das rochas reservatório, formando o arcabouço de fácies como coquinas, microbialitos e esferulitos. Sua precipitação e dissolução durante a diagênese controlam fundamentalmente a qualidade e a heterogeneidade destes reservatórios."
Dolomite,Sedimentary Rock,"The NLD explicitly defines the term as a 'carbonate rock' ('rocha carbonática'), which is a type of sedimentary rock.","Dolomita é uma rocha carbonática composta predominantemente pelo mineral dolomita [CaMg(CO₃)₂], cuja gênese está comumente associada a processos diagenéticos de substituição. No sistema petrolífero do Pré-Sal brasileiro, o processo de dolomitização é fundamental para a geração de porosidade secundária intercristalina e vugular. Consequentemente, a dolomita constitui os reservatórios de maior produtividade e excepcional qualidade das bacias de Santos e Campos."
Magnesite,Earth Material,"The NLD defines magnesite as a mineral (MgCO₃), which is a natural amount of solid matter that constitutes rocks, aligning with the definition of Earth Material.","Magnesita é um mineral carbonático de magnésio (MgCO₃) que, nos reservatórios do Pré-Sal, representa uma fase autigênica ou diagenética formada em ambientes lacustres alcalinos e hipersalinos. Sua ocorrência, frequentemente associada a argilominerais magnesianos como a estevensita, é um importante indicador paleoambiental e impacta diretamente as propriedades petrofísicas da rocha."
Serpentinite,Rock,"The NLD explicitly defines the term as a metamorphic rock ('rocha metamórfica'), which is a solid, consolidated Earth Material.","Serpentinita é uma rocha metamórfica que resulta da alteração hidrotermal de rochas ultramáficas do manto, como peridotitos. No Pré-Sal brasileiro, compõe rochas do embasamento exumado que funcionam como importantes reservatórios de hidrocarbonetos. A sua capacidade de armazenamento e fluxo de fluidos é controlada por um sistema de porosidade secundária, desenvolvido por fraturamento tectônico e dissolução."
Igneous Rock,Rock,"The NLD defines the term as a type of rock ('Rocha Ígnea é uma rocha') that results from solidification, which fits the GeoCore definition of Rock as a solid consolidated Earth Material.","Rocha Ígnea é uma rocha que resulta da solidificação de material magmático, ocorrendo no Pré-Sal brasileiro principalmente como intrusões (diques e soleiras) e derrames vulcânicos de composição básica associados ao rifteamento do Atlântico Sul. Estes corpos impactam diretamente o sistema petrolífero, podendo compartimentar reservatórios, alterar a maturação térmica das rochas geradoras ou modificar as propriedades petrofísicas das rochas encaixantes."
Volcanic Rock,Rock,"The NLD defines the term as a type of igneous rock ('rocha ígnea'), which is a solid consolidated Earth Material.","Rocha Vulcânica é uma rocha ígnea, de composição tipicamente máfica, resultante da atividade magmática associada à fase rifte que deu origem às bacias do Pré-Sal. No contexto do sistema petrolífero, ocorre como derrames ou corpos intrusivos que podem constituir o embasamento econômico, compartimentar os reservatórios carbonáticos ou atuar como rocha selante."
Basement,Geological Object,"The NLD describes the basement as a 'complexo de rochas' (complex of rocks) and a 'domínio geológico' (geological domain) that constitutes a physical substrate, which aligns with the definition of a rigid entity with its own identity criteria.","Embasamento é um complexo de rochas ígneas e metamórficas que constitui o substrato crustal sobre o qual se depositaram as sequências sedimentares de uma bacia. No contexto do Pré-Sal brasileiro, este domínio geológico pré-rifte define a arquitetura estrutural dos grabens onde se acumularam os reservatórios carbonáticos. Sua composição é predominantemente gnáissica e granítica, com idades que remontam ao Neoproterozoico."
Unconformity,Geological Boundary,"The NLD defines an unconformity as a 'surface of erosion or non-deposition that separates rock strata,' which corresponds to a physical discontinuity on the external surface of a Geological Object.","Discordância é uma superfície de erosão ou não deposição que separa estratos rochosos de idades distintas, representando um hiato significativo no registro geológico. No contexto do Pré-Sal brasileiro, a discordância pré-aptiana constitui o topo dos reservatórios carbonáticos da fase rifte, representando uma superfície de exposição subaérea que antecede a deposição da seção salífera. Este evento erosivo foi fundamental para o desenvolvimento de porosidade secundária por carstificação, controlando a qualidade e a heterogeneidade dos reservatórios."
Diapir,Sedimentary Geological Object,"The NLD defines a diapir as an intrusive body or mass constituted by salt, which is a type of sedimentary rock, fitting the definition of a Sedimentary Geological Object.","Diápiro é uma estrutura geológica intrusiva que resulta da ascensão de uma massa de sal móvel e de baixa densidade através de camadas sedimentares sobrejacentes. No contexto do Pré-Sal brasileiro, estes corpos são formados pelo sal da Bacia de Santos, cujo movimento (halocinese) deforma a seção pós-sal. Sua geometria complexa é um elemento chave na formação de trapas estruturais e estratigráficas para hidrocarbonetos nos reservatórios carbonáticos subjacentes."
Salt Weld,Geological Boundary,"The NLD defines the term as a 'surface of discontinuity' that results from the complete evacuation of a salt layer, which directly aligns with the definition of a Geological Boundary.","Uma sutura de sal é uma superfície de descontinuidade que resulta da evacuação tectônica completa de uma camada de sal, promovendo o contato direto entre as seções sub-sal e supra-sal. No contexto do Pré-Sal brasileiro, esta feição é crítica para a análise de risco exploratório, pois pode funcionar como uma via de migração de hidrocarbonetos ou como uma barreira ao fluxo, dependendo da justaposição das litologias."
Minibasin,Depositional Unit,"The NLD defines a minibasin as a 'depocentro sedimentar' (sedimentary depocenter), which is a recognizable geological object where sediment accumulation occurs.","Minibacia é um depocentro sedimentar localizado que é formado pela subsidência do substrato em resposta à movimentação de sal (halocinese). No contexto do Pré-Sal brasileiro, seu preenchimento por sedimentos pós-sal atua como sobrecarga, influenciando a maturação das rochas geradoras e a geometria dos reservatórios carbonáticos adjacentes. A evolução destas feições delimita os altos estruturais que constituem as principais trapas para as acumulações de hidrocarbonetos."
