Term,NLD
Carbonate Factory,"Uma fábrica de carbonato é um sistema deposicional que produz sedimentos carbonáticos *in situ* através de processos biológicos e/ou químicos dentro da zona eufótica. No contexto do Pré-Sal brasileiro, estas fábricas desenvolvem-se em ambientes lacustres de alta alcalinidade, sendo dominadas pela precipitação abiótica de esferulitos e pela atividade de esteiras microbianas e bivalves. A produtividade, o tipo e a distribuição espacial destas fábricas controlam diretamente a geometria e a qualidade petrofísica dos corpos rochosos que constituem os reservatórios."
Saline Lake,"Lago Salino é um sistema deposicional lacustre que se desenvolveu durante a fase sag do rifte Sul-Atlântico no Aptiano. Caracterizado por uma coluna d'água estratificada, hipersalina e alcalina, este ambiente controlou a deposição tanto das rochas geradoras ricas em matéria orgânica quanto dos carbonatos microbiais que constituem os principais reservatórios do Pré-Sal."
Alkaline Lake,"Um Lago Alcalino é um sistema deposicional lacustre que, devido às suas águas com pH elevado e alta concentração de íons carbonato e bicarbonato, promove a extensa precipitação química e/ou bio-induzida de carbonatos. No contexto do Pré-Sal brasileiro, este ambiente é o principal responsável pela geração dos reservatórios de microbialitos e esferulitos da Formação Barra Velha."
Hypersaline Lake,"Um lago hipersalino é um corpo de água continental que se caracteriza por concentrações de sais marcadamente superiores às da água do mar, devido à evaporação exceder a recarga hídrica. No contexto do Pré-Sal brasileiro, este ambiente deposicional sag-rift desenvolveu uma química de águas alcalinas e com alta razão Mg/Ca, fundamental para a precipitação dos carbonatos microbianos dos reservatórios e para a preservação da matéria orgânica das rochas geradoras."
Eogenetic Diagenesis,"Diagênese Eogenética é o conjunto de processos físico-químicos e biológicos que alteram um sedimento logo após sua deposição, ocorrendo em soterramento raso e sob forte influência das condições da superfície. No contexto dos reservatórios carbonáticos do Pré-Sal, esta fase é crucial, pois processos como dissolução por águas meteóricas, cimentação e neomorfismo controlam a criação ou destruição da porosidade. Sua ação é o principal fator na definição da arquitetura porosa original que será submetida aos estágios diagenéticos posteriores."
Mesogenetic Diagenesis,"A Diagênese Mesogenética é o estágio diagenético que ocorre durante o soterramento profundo das rochas sedimentares, sendo regido pelo aumento da pressão e da temperatura. Nos reservatórios carbonáticos do Pré-Sal, esta fase é fundamental pois controla tanto a geração de porosidade secundária, associada à dissolução por fluidos ácidos da maturação da rocha geradora, quanto a sua destruição por processos de compactação química e cimentação tardia. Tais processos definem a arquitetura porosa final e a qualidade do reservatório."
Telogenetic Diagenesis,"Diagênese Telogenética é o estágio final da diagênese que ocorre quando rochas previamente soterradas são soerguidas e expostas à ação de águas meteóricas próximo à superfície. Seus principais processos incluem a dissolução e oxidação, sendo a carstificação fundamental para a geração de porosidade secundária em carbonatos. No contexto do Pré-Sal brasileiro, este processo foi responsável pela criação de extensos sistemas de paleocarste que constituem os reservatórios de maior produtividade."
Recrystallization,"Recristalização é um processo diagenético que modifica a fábrica de uma rocha carbonática através da alteração no tamanho e na forma dos seus cristais constituintes, geralmente sem mudança na composição mineralógica essencial. Este processo comumente envolve a transformação de minerais instáveis, como a aragonita, em polimorfos mais estáveis, como a calcita. Nos reservatórios do Pré-Sal, a recristalização impacta diretamente as propriedades petrofísicas ao obliterar ou redistribuir o sistema poroso original."
Neomorphism,"Neomorfismo é um processo diagenético que promove a transformação *in situ* de um mineral em um polimorfo ou a recristalização de seus cristais constituintes, sem alteração da composição química geral. Nos reservatórios carbonáticos do Pré-sal, este processo governa a inversão de fases minerais instáveis, como aragonita e calcita alto-Mg, para a calcita baixo-Mg, mais estável. Tal alteração modifica a microfábrica original da rocha, sendo um controle primário na evolução da porosidade e permeabilidade do reservatório."
Compaction,"Compactação é um processo diagenético que provoca a redução progressiva do volume total e da porosidade de um sedimento em resposta ao aumento da pressão litoestática. Este processo resulta de mecanismos mecânicos, como o rearranjo de grãos, e químicos, como a dissolução por pressão. Nos reservatórios carbonáticos do Pré-Sal, a compactação é um controle primário na evolução do sistema poroso e na qualidade final da rocha reservatório."
Interparticle Porosity,"Porosidade Interpartícula é um tipo de porosidade primária que corresponde aos espaços vazios depositacionais localizados entre as partículas constituintes da rocha. No contexto dos carbonatos do Pré-Sal, estas partículas são comumente esferulitos, arbustos (""shrubs"") ou bioclastos. Este tipo de poro constitui um volume de armazenamento fundamental e contribui significativamente para a permeabilidade dos reservatórios."
Intraparticle Porosity,"Porosidade Intrapartícula é um tipo de porosidade primária ou secundária que se localiza no espaço interno das partículas ou grãos constituintes de uma rocha. Nos reservatórios carbonáticos do Pré-Sal, esta porosidade é um componente volumétrico crucial do sistema poroso, ocorrendo notavelmente no interior de esferulitos, ""shrubs"" e bioclastos. Sua contribuição para a permeabilidade efetiva da rocha é controlada pela sua conectividade com o sistema poroso intergranular adjacente."
Microporosity,"Microporosidade é uma componente da porosidade total de uma rocha que é constituída por um sistema de poros de dimensões micrométricas a submicrométricas, geralmente não resolvíveis em microscopia ótica convencional. Nos reservatórios carbonáticos do Pré-Sal, esta porosidade é predominantemente do tipo intrapartícula, desenvolvida no interior de constituintes como esferulitos e microbialitos. Embora contribua significativamente para o volume de armazenamento de hidrocarbonetos, a microporosidade geralmente apresenta baixa permeabilidade, controlando a produtividade do reservatório."
Wettability,"Molhabilidade é uma propriedade petrofísica fundamental do sistema rocha-fluido que descreve a tendência de um fluido, como água ou óleo, em aderir preferencialmente à superfície mineral dos poros de uma rocha-reservatório. Esta propriedade governa a distribuição dos fluidos no espaço poroso e influencia diretamente a pressão capilar e a permeabilidade relativa. Nos carbonatos do Pré-Sal, a alteração da molhabilidade original, de hidrofílica para mista ou oleofílica, é um fator crítico que impacta a eficiência da recuperação de hidrocarbonetos."
Capillary Pressure,"Pressão Capilar é a diferença de pressão que existe através da interface entre dois fluidos imiscíveis dentro de um meio poroso, resultante da tensão interfacial e da molhabilidade da rocha. Esta propriedade petrofísica governa a distribuição de hidrocarbonetos nos reservatórios e quantifica a capacidade de selo das rochas-capeadoras. Nos carbonatos heterogêneos do Pré-Sal, a pressão capilar controla a altura das colunas de óleo e a saturação de água irredutível em seus complexos sistemas de poros."
Saturation,"Saturação é uma medida petrofísica adimensional que quantifica a fração do volume poroso de uma rocha que é ocupada por uma fase fluida específica. Nos reservatórios carbonáticos do Pré-Sal, as fases de interesse primário são o óleo, o gás associado e a água conata irredutível. A sua determinação é um parâmetro fundamental para o cálculo do volume de hidrocarbonetos original e para a previsão do comportamento de produção do reservatório."
Kerogen,"Kerogênio é a fração macromolecular da matéria orgânica sedimentar que é insolúvel em solventes orgânicos não oxidantes. Constitui o principal precursor para a geração de petróleo e gás nas rochas geradoras submetidas ao soterramento e aquecimento progressivo. No contexto do Pré-Sal brasileiro, este material é tipicamente do Tipo I, derivado de matéria orgânica de origem microbiana e algal de ambiente lacustre, possuindo altíssimo potencial para a geração de óleo."
